18.62,933.80,732.56,42.511312,1.231758,34.4,219.8,9:30:1,2.517553,
18.80,934.28,728.29,42.509627,1.230185,35.6,237.6,9:30:13,.516305,
18.94,935.03,721.61,42.509947,1.228813,35.7,306.9,9:30:20,.515179,
19.08,935.59,716.62,42.510337,1.227472,31.2,267.4,9:30:27,.514143,
19.23,935.77,715.02,42.509595,1.226542,34.2,206.1,9:30:34,.513340,
19.35,935.87,714.19,42.508728,1.226024,33.9,204.9,9:30:40,.512226,
19.47,936.09,712.23,42.507624,1.225429,38.2,201.8,9:30:47,.511433,
19.51,936.55,708.16,42.506522,1.224608,39.2,217.5,9:30:54,.511312,
19.53,936.84,705.59,42.505595,1.223476,37.8,223.5,9:31:1,2.509627,
19.55,936.89,705.14,42.504662,1.222393,37.8,223.7,9:31:8,2.509947,
19.58,936.98,704.36,42.503647,1.221812,41.6,200.8,9:31:14,.510337,
19.61,937.23,702.11,42.502388,1.221173,40.0,200.5,9:31:21,.509595,
19.59,937.36,700.96,42.501234,1.220512,37.1,206.1,9:31:28,.508728,
19.55,937.43,700.35,42.501081,1.220407,37.3,207.1,9:31:29,.507624,
19.46,937.67,698.24,42.499313,1.218847,39.6,217.5,9:31:41,.506522,
19.37,937.92,695.99,42.498348,1.217842,37.1,218.9,9:31:48,.505595,
19.26,938.10,694.39,42.497456,1.216749,36.8,224.5,9:31:55,.504662,
19.18,938.22,693.30,42.496703,1.215639,33.4,231.8,9:32:2,2.503647,
19.10,938.32,692.47,42.496195,1.214414,33.5,234.1,9:32:9,2.502388,
19.09,938.40,691.74,42.495878,1.213450,26.5,246.1,9:32:15,.501234,
19.04,938.51,690.77,42.495599,1.212520,18.4,254.3,9:32:22,.501081,
19.02,938.61,689.93,42.495553,1.212100,0.9,267.6,9:32:29,2.499313,
19.03,938.67,689.33,42.495552,1.212097,0.4,0.0,9:32:30,,42.498348,
19.03,938.55,690.41,42.495078,1.211761,16.2,192.1,9:32:42,.497456,
18.97,938.41,691.64,42.494485,1.211554,21.2,199.0,9:32:49,.496703,
18.94,938.34,692.31,42.493732,1.211634,25.3,146.1,9:32:56,.496195,
18.90,938.14,694.09,42.493063,1.212320,27.4,161.7,9:33:3,2.495878,
18.83,938.00,695.26,0.000000,0.000000,0.0,161.7,9:33:10,42.495599,
18.78,938.14,694.01,0.000000,0.000000,0.0,161.7,9:33:11,42.495553,
18.77,938.48,691.03,42.490615,1.210429,36.4,198.2,9:33:22,.495552,
18.76,938.65,689.54,42.489442,1.210551,34.2,180.7,9:33:29,.495078,
18.73,938.48,691.02,42.488415,1.211033,34.0,178.5,9:33:36,.494485,
18.69,938.34,692.30,42.487835,1.211995,33.3,132.7,9:33:42,.493732,
18.62,938.34,692.25,42.486789,1.212352,36.5,195.0,9:33:49,.493063,
18.59,938.38,691.96,42.485825,1.211452,36.5,231.8,9:33:56,000000,0
18.54,938.21,693.39,42.485717,1.211277,36.5,230.0,9:33:57,000000,0
18.50,937.86,696.52,42.484198,1.209324,34.2,228.8,9:34:10,.490615,
